Wyrownanie na planszy 13x13 — 5 zrodel obok siebie.

"ruchy" to liczba startowych ruchow z rzedu Czarnego: 1 to gra rowna, 2 to jeden
ruch darmowy, i tak dalej. Zrodla licza kamienie roznie — jedne pisza gre rowna
jako 0 kamieni, inne jako 1 — wiec tutaj sa sprowadzone do jednej miary i kolumny
znacza to samo. Komi stoi tak, jak w zrodle: dodatnie idzie do Bialego, ujemne do
Czarnego. Para - - znaczy, ze tabela zrodla konczy sie wczesniej.

Plik jest generowany — poprawki wchodza do tools/wyrownanie/*.py, nie tutaj.

  Semedori  https://zg-go.pl/ranking.html
  BGA       https://www.britgo.org/handbook/hcap_13x13.pdf
  LSG       https://lsg.go.art.pl/public/handi/handi-13.pdf
  Ishikura  https://senseis.xmp.net/?HandicapForSmallerBoardSizes
  Hunt      https://senseis.xmp.net/?HandicapForSmallerBoardSizes

            Semedori         BGA             LSG          Ishikura         Hunt
roznica   ruchy   komi   ruchy   komi   ruchy    komi   ruchy   komi   ruchy   komi
      0       1      6       1      6       1     6.5       1    5.5       1      6
      1       1      1       1      2       1     1.5       1    0         1      2
      2       1     -3       2      8       1    -3.5       1   -5         1     -2
      3       1     -8       2      4       2     4.5       2    5         2      4
      4       2      0       2      0       2    -0.5       2    0         2      0
      5       2     -5       3      6       2    -5.5       2   -5         2     -4
      6       2    -10       3      2       3     1.5       3    5         3      2
      7       3     -3       4      8       3    -3.5       3    0         3     -2
      8       3     -8       4      4       4     4.5       3   -5         4      4
      9       4      0       4      0       4    -0.5       4    5         4      0
     10       4     -5       5      6       4    -5.5       4    0         4     -4
     11       4    -10       5      2       5     1.5       4   -5         5      2
     12       5     -3       6      8       5    -3.5       5    5         5     -2
     13       5     -8       6      4       6     4.5       5    0         6      4
     14       6      0       6      0       6    -0.5       5   -5         6      0
     15       6     -5       7      6       6    -5.5       6    5         6     -4
     16       6    -10       7      2       6   -23.5       6    0         -      -
     17       7     -3       8      8       6   -28.5       6   -5         -      -
     18       7     -8       8      4       6   -33.5       7    5         -      -
     19       8      0       8      0       6   -38.5       7    0         -      -
     20       8     -5       9      6       6   -43.5       7   -5         -      -
     21       8    -10       9      2       6   -48.5       8    5         -      -
     22       9     -3      10      8       -     -         8    0         -      -
     23       9     -8      10      4       -     -         8   -5         -      -
     24      10      0      10      0       -     -         9    5         -      -
     25      10     -5      11      6       -     -         9    0         -      -
     26      10    -10      11      2       -     -         9   -5         -      -
     27      11     -3      12      8       -     -        10    5         -      -
     28      11     -8      12      4       -     -        10    0         -      -
     29      12      0      12      0       -     -        10   -5         -      -
     30      12     -5       -      -       -     -        11    5         -      -
