Wyrownanie na planszy 19x19 — tabela: Semedori.

"ruchy" to liczba startowych ruchow z rzedu Czarnego: 1 to gra rowna, 2 to jeden
ruch darmowy, i tak dalej. Zrodla licza kamienie roznie — jedne pisza gre rowna
jako 0 kamieni, inne jako 1 — wiec tutaj sa sprowadzone do jednej miary i kolumny
znacza to samo. Komi stoi tak, jak w zrodle: dodatnie idzie do Bialego, ujemne do
Czarnego.

Plik jest generowany — poprawki wchodza do tools/wyrownanie/*.py, nie tutaj.

  Semedori  https://zg-go.pl/ranking.html

            Semedori
roznica   ruchy   komi
      0       1      6
      1       1     -7
      2       2     -7
      3       3     -7
      4       4     -7
      5       5     -7
      6       6     -7
      7       7     -7
      8       8     -7
      9       9     -7
     10      10     -7
     11      11     -7
     12      12     -7
     13      13     -7
     14      14     -7
     15      15     -7
     16      16     -7
     17      17     -7
     18      18     -7
     19      19     -7
     20      20     -7
     21      21     -7
     22      22     -7
     23      23     -7
     24      24     -7
     25      25     -7
     26      26     -7
     27      27     -7
     28      28     -7
     29      29     -7
     30      30     -7
