Wyrownanie na planszy 9x9 — 5 zrodel obok siebie.

"ruchy" to liczba pierwszych ruchow z rzedu Czarnego: 1 to gra rowna, 2 to jeden
ruch darmowy, i tak dalej. Zrodla licza kamienie roznie — jedne pisza gre rowna
jako 0 kamieni, inne jako 1 — wiec tutaj sa sprowadzone do jednej miary i kolumny
znacza to samo. Komi stoi tak, jak w zrodle: dodatnie idzie do Bialego, ujemne do
Czarnego. Para - - znaczy, ze tabela zrodla konczy sie wczesniej.

Plik jest generowany — poprawki wchodza do tools/wyrownanie/*.py, nie tutaj.

  Semedori  https://zg-go.pl/ranking.html
  BGA       https://www.britgo.org/handbook/hcap_9x9.pdf
  LSG       https://lsg.go.art.pl/public/handi/handi-9.pdf
  Ishikura  https://senseis.xmp.net/?HandicapForSmallerBoardSizes
  Hunt      https://senseis.xmp.net/?HandicapForSmallerBoardSizes

            Semedori         BGA            LSG          Ishikura         Hunt
roznica   ruchy   komi   ruchy   komi   ruchy   komi   ruchy   komi   ruchy   komi
      0       1      6       1    6         1    6.5       1    5.5       1      6
      1       1      4       1    4.5       1    4.5       1    3         1      4
      2       1      2       1    3         1    2.5       1    0         1      2
      3       1      0       1    1.5       1    0.5       1   -3         1      0
      4       1     -2       1    0         1   -1.5       1   -6         1     -2
      5       1     -4       1   -2         1   -3.5       2    3         1     -4
      6       1     -6       1   -4         1   -5.5       2    0         2      4
      7       1     -8       1   -6         2    4.5       2   -3         2      2
      8       1    -10       2    6         2    2.5       2   -6         2      0
      9       1    -12       2    4         2    0.5       3    3         2     -2
     10       2     -1       2    2         2   -1.5       3    0         2     -4
     11       2     -3       2    0         2   -3.5       3   -3         3      4
     12       2     -5       2   -2         2   -5.5       3   -6         3      2
     13       2     -7       2   -4         3    4.5       4    3         3      0
     14       2     -9       2   -6         3    2.5       4    0         3     -2
     15       2    -11       3    6         3    0.5       4   -3         3     -4
     16       3      0       3    4         3   -1.5       4   -6         -      -
     17       3     -2       3    2         3   -3.5       5    3         -      -
     18       3     -4       3    0         3   -5.5       5    0         -      -
     19       3     -6       3   -2         4    4.5       5   -3         -      -
     20       3     -8       3   -4         4    2.5       5   -6         -      -
     21       3    -10       3   -6         4    0.5       6    3         -      -
     22       3    -12       4    6         -    -         6    0         -      -
     23       4     -1       4    4         -    -         6   -3         -      -
     24       4     -3       4    2         -    -         6   -6         -      -
     25       4     -5       4    0         -    -         7    3         -      -
     26       4     -7       4   -2         -    -         7    0         -      -
     27       4     -9       4   -4         -    -         7   -3         -      -
     28       4    -11       4   -6         -    -         7   -6         -      -
     29       5      0       -    -         -    -         8    3         -      -
     30       5     -2       -    -         -    -         8    0         -      -
